65 1082
1 8 7201
1 9 3729
1 13 7731
1 14 3831
1 15 7604
1 18 2879
1 19 8864
1 20 2647
1 23 4240
1 25 6027
1 27 3303
1 28 7028
1 30 511
1 31 745
1 34 4401
1 38 5574
1 43 6837
1 44 3730
1 45 6068
1 46 1817
1 47 9547
1 48 86
1 50 7661
1 52 9458
1 53 5300
1 55 8332
1 56 9877
1 57 2030
1 59 5597
1 61 7541
1 64 8120
2 3 6364
2 5 9040
2 6 1303
2 7 9803
2 9 5039
2 13 9585
2 14 8003
2 17 3487
2 21 6986
2 23 4168
2 24 714
2 27 1194
2 30 5940
2 31 5557
2 32 7021
2 33 6045
2 34 9147
2 37 4208
2 38 3213
2 41 1650
2 42 4098
2 45 2086
2 46 4246
2 47 2353
2 49 1281
2 50 3166
2 52 1298
2 57 2735
2 58 6085
2 59 1172
2 61 2139
2 62 9125
3 4 9911
3 5 4263
3 7 9490
3 8 4382
3 9 6928
3 10 1935
3 11 6224
3 15 4663
3 16 6423
3 17 7252
3 18 7145
3 21 4014
3 27 1356
3 29 2113
3 30 3450
3 33 9468
3 37 6031
3 39 3819
3 41 8254
3 45 4092
3 49 4357
3 57 6178
3 60 2668
3 64 7521
4 7 5765
4 12 6882
4 13 6301
4 14 9963
4 16 2214
4 19 4558
4 20 5638
4 21 1302
4 22 8319
4 23 5447
4 24 2631
4 25 6423
4 26 1064
4 27 9785
4 28 9951
4 29 6303
4 32 1864
4 34 9175
4 35 9103
4 36 4840
4 37 2892
4 38 460
4 40 8854
4 41 8147
4 43 8360
4 45 3234
4 49 280
4 52 7255
4 53 8163
4 59 1063
4 61 5440
4 62 5392
4 65 2569
5 8 3909
5 9 7232
5 10 9057
5 11 153
5 13 4882
5 17 2582
5 19 7719
5 20 1635
5 21 6665
5 23 5703
5 24 6108
5 25 8816
5 26 2442
5 28 9208
5 29 4236
5 32 3990
5 34 4046
5 37 2984
5 38 2382
5 39 2923
5 41 4263
5 43 6914
5 47 8048
5 49 7396
5 51 3917
5 52 2886
5 54 6781
5 55 8634
5 58 633
5 59 2337
5 60 2850
5 64 6083
6 7 9675
6 11 3197
6 13 22
6 14 4830
6 16 3402
6 17 6496
6 19 9778
6 22 191
6 23 2157
6 26 7238
6 27 4172
6 29 2506
6 30 1443
6 31 7455
6 34 5463
6 35 2606
6 39 1041
6 44 8855
6 46 3569
6 50 7207
6 51 3155
6 53 5841
6 55 8184
6 56 7532
6 58 1222
6 59 9593
6 60 2380
6 61 4527
6 62 1027
7 8 2424
7 9 1457
7 10 1727
7 12 1338
7 14 4264
7 15 7017
7 17 7585
7 23 3698
7 25 3813
7 28 7775
7 29 7043
7 30 8042
7 32 1133
7 35 6481
7 37 7625
7 38 5042
7 40 5338
7 42 4024
7 43 7684
7 45 131
7 47 2216
7 48 469
7 51 4477
7 52 5650
7 56 9953
7 58 9619
7 59 1157
7 60 7353
7 62 9034
7 63 6237
7 64 3678
8 11 7643
8 17 1384
8 18 8985
8 19 9097
8 20 9856
8 21 8055
8 23 4076
8 25 5483
8 26 7134
8 29 6419
8 30 3507
8 31 2990
8 32 5749
8 33 5280
8 34 9459
8 35 3694
8 37 3291
8 38 8055
8 39 8681
8 40 1228
8 41 5355
8 42 8910
8 43 7070
8 44 8953
8 46 4676
8 50 2308
8 52 8750
8 54 4349
8 57 5854
8 58 4348
8 59 5906
8 60 9291
8 61 6042
8 62 3119
8 64 838
8 65 6159
9 10 2198
9 11 6355
9 14 9469
9 15 4870
9 19 2815
9 21 206
9 22 5397
9 24 5127
9 25 2059
9 29 2286
9 30 5506
9 31 6819
9 33 3935
9 35 5526
9 36 6483
9 37 4046
9 38 4003
9 39 9299
9 40 5006
9 41 8150
9 42 2165
9 43 8633
9 44 3454
9 46 6512
9 48 1958
9 50 2367
9 51 9908
9 52 8319
9 57 4927
9 58 7029
9 60 637
9 62 1472
10 11 4504
10 12 9622
10 14 5550
10 15 2484
10 16 6942
10 17 3419
10 20 286
10 21 7689
10 22 5609
10 23 2488
10 24 8475
10 25 6038
10 27 6405
10 28 604
10 30 2786
10 31 4624
10 32 5071
10 33 7214
10 34 1335
10 35 397
10 36 2817
10 43 9489
10 49 1708
10 51 1338
10 52 291
10 53 686
10 54 5567
10 55 9780
10 57 7136
10 58 7419
10 61 8794
10 62 4579
10 63 8402
10 64 9707
11 14 5906
11 15 6525
11 16 6677
11 17 670
11 18 4555
11 22 1599
11 24 2722
11 26 3325
11 29 6238
11 30 8317
11 32 5694
11 33 315
11 34 3422
11 40 2384
11 42 9318
11 43 1454
11 45 3297
11 47 4234
11 49 2266
11 50 9104
11 51 4961
11 52 6314
11 54 4821
11 56 1020
11 57 7288
11 58 2963
11 63 2125
11 64 4745
12 13 2063
12 14 5665
12 15 4018
12 16 9372
12 19 3248
12 21 7169
12 26 2803
12 27 3965
12 30 9355
12 31 9770
12 32 9451
12 33 8052
12 34 8170
12 35 8249
12 36 2049
12 38 3609
12 46 3697
12 50 9653
12 51 2321
12 52 9996
12 53 4998
12 57 8720
12 59 8238
12 61 3589
13 18 5329
13 21 8811
13 24 6971
13 25 8627
13 26 3054
13 27 526
13 32 2985
13 33 9730
13 37 4945
13 39 8064
13 40 7471
13 41 942
13 44 4406
13 47 4412
13 48 8002
13 53 5000
13 54 795
13 57 145
13 58 1471
13 61 3837
13 62 3235
13 63 3091
14 15 8038
14 16 4369
14 21 3356
14 22 2570
14 25 3784
14 29 3226
14 32 5428
14 33 3048
14 34 6631
14 35 7598
14 36 402
14 37 5740
14 39 2906
14 49 1996
14 50 2676
14 51 5814
14 52 9821
14 53 6475
14 54 2671
14 57 6836
14 58 4002
14 60 9223
14 61 8694
14 63 9397
14 65 34
15 18 7524
15 21 4365
15 22 4079
15 23 6660
15 24 1187
15 27 1204
15 28 2333
15 29 9820
15 33 9215
15 34 3492
15 37 2205
15 38 6997
15 39 3442
15 41 6430
15 42 7118
15 43 7590
15 44 2489
15 47 2961
15 49 7391
15 50 9919
15 52 5630
15 54 162
15 55 4582
15 56 4500
15 57 5039
15 58 9158
15 60 7127
15 61 9585
